College Name,Genders Accepted,Total811Student811Enrollments,Total Faculty,Established Year,University,City,State,College Type,Average Fees
Birla Institute of Technology,Co-Ed,4506,284,1955,,Ranchi,Jharkhand,Private,596686.0465
International Institute of Information Technology,Co-Ed,1721,85,2001,,Hyderabad,Telangana,Private,756666.6667
BMS College of Engineering,Co-Ed,5610,298,1946,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,71558.66667
Thapar Institute of Engineering and Technology,Co-Ed,8150,482,1956,,Patiala,Punjab,Private,736823.0769
Shanmugha Arts Science Technology Research and Academy,Co-Ed,9838,750,2001,,Thanjavur,Tamil Nadu,Private,415918.0328
Nirma University,Co-Ed,8223,369,2003,,Ahmedabad,Gujarat,Private,705485.7143
Lovely Professional University,Co-Ed,47579,2200,2005,,Phagwara,Punjab,Private,423667.1769
Christ University,Co-Ed,20823,702,2008,,Bengaluru,Karnataka,Private,313873.7705
PES University,Co-Ed,6465,410,2013,,Bengaluru,Karnataka,Private,276055.5556
Maharashtra Institute of Technology,Co-Ed,1647,235,1983,"Dr Vishwanath Karad MIT World Peace University, Pune",Pune,Maharashtra,Private,695000
Amrita School of Engineering,Co-Ed,811,300,1994,"Amrita Vishwa Vidyapeetham, Coimbatore",Coimbatore,Tamil Nadu,Private,649857.1429
MIT College of Engineering,Co-Ed,1607,152,2001,"Dr Vishwanath Karad MIT World Peace University, Pune",Pune,Maharashtra,Private,943500
Thiagarajar College of Engineering,Co-Ed,3856,286,1957,"Anna University, Chennai",Madurai,Tamil Nadu,Private,130524.7368
BITS Pilani- Hyderabad Campus,Co-Ed,811,559,2008,"Birla Institute of Technology and Science, Pilani",Hyderabad,Telangana,Private,1110000
Dhirubhai Ambani Institute of Information and Communication Technology,Co-Ed,1689,58,2003,,Gandhinagar,Gujarat,Private,422000
Sri Sivasubramaniya Nadar College of Engineering,Co-Ed,3918,262,1996,"Anna University, Chennai",Kelambakkam,Tamil Nadu,Private,198333.3333
VIT University,Co-Ed,7763,381,2010,"Vellore Institute of Technology, Vellore",Kelambakkam,Tamil Nadu,Private,577000
Bangalore Institute of Technology,Co-Ed,4493,297,1979,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,178800
Vishwakarma Institute of Technology,Co-Ed,811,202,1983,"Savitribai Phule Pune University, Pune",Pune,Maharashtra,Private,511550
Jamia Hamdard,Co-Ed,7888,384,1989,,New Delhi,Delhi,Private,485076.9231
Symbiosis International University,Co-Ed,187,1321,2002,,Pune,Maharashtra,Private,706753.211
Chandigarh University,Co-Ed,23917,832,2012,,Chandigarh,Punjab,Private,389054.6875
BMS Institute of Technology and Management,Co-Ed,811,146,2002,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,188800
Dayananda Sagar College of Engineering,Co-Ed,7190,500,1979,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,250735.1613
Chaitanya Bharathi Institute of Technology,Co-Ed,4948,197,1979,"Osmania University, Hyderabad",Hyderabad,Telangana,Private,325052.6316
Sharda University,Co-Ed,11567,1200,2009,,Greater Noida,Uttar Pradesh,Private,918053.1401
Dr DY Patil University,Co-Ed,6899,538,2002,,Navi Mumbai,Maharashtra,Private,1984333.333
Heritage Institute of Technology,Co-Ed,4261,205,2001,"Maulana Abul Kalam Azad University of Technology, Kolkata",Kolkata,West Bengal,Private,326320
Sinhgad College of Engineering,Co-Ed,5292,300,1996,"Savitribai Phule Pune University, Pune",Pune,Maharashtra,Private,400476.1905
Bharati Vidyapeeth Deemed University College of Engineering,Co-Ed,3159,177,1983,"Bharati Vidyapeeth, Pune",Pune,Maharashtra,Private,341931.0345
Sathyabama Institute of Science and Technology,Co-Ed,11670,668,1987,,Chennai,Tamil Nadu,Private,390937.5
Acharya Institute of Technology,Co-Ed,4615,316,2000,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,238454.5455
Shiv Nadar University,Co-Ed,2062,177,2011,,Greater Noida,Uttar Pradesh,Private,542241.3793
PES Institute of Technology,Co-Ed,811,181,1988,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,761111.1111
VNR Vignana Jyothi Institute of Engineering and Technology,Co-Ed,6685,438,1995,"Jawaharlal Nehru Technological University, Hyderabad",Hyderabad,Telangana,Private,225792
Jaypee Institute of Information Technology,Co-Ed,5010,323,2004,,Noida,Uttar Pradesh,Private,987937.5
Army Institute of Technology,Co-Ed,1287,72,1994,"Savitribai Phule Pune University, Pune",Pune,Maharashtra,Private,591800
KJ Somaiya College of Engineering,Co-Ed,2993,177,1983,"University of Mumbai, Mumbai",Mumbai,Maharashtra,Private,492272.7273
Graphic Era University,Co-Ed,6064,306,2008,,Dehradun,Uttarakhand,Private,639980.7692
Institute of Engineering and Management,Co-Ed,722,235,1989,"Maulana Abul Kalam Azad University of Technology, Kolkata",Kolkata,West Bengal,Private,468500
GITAM University,Co-Ed,72259,847,1980,,Visakhapatnam,Andhra Pradesh,Private,421933.8095
MS Ramaiah University of Applied Sciences,Co-Ed,4812,380,2013,,Bengaluru,Karnataka,Private,348762.7119
Koneru Lakshmaiah Education Foundation,Co-Ed,15544,978,2009,,Guntur,Andhra Pradesh,Private,471162.7907
Galgotias University,Co-Ed,13241,719,2011,,Greater Noida,Uttar Pradesh,Private,310501.3889
LNM Institute of Information Technology,Co-Ed,1903,74,2006,,Jaipur,Rajasthan,Private,719461.5385
Maharaja Agrasen Institute of Technology,Co-Ed,3757,213,1999,"Guru Gobind Singh Indraprastha University, Delhi",New Delhi,Delhi,Private,423333.3333
Shri Govindram Seksaria Institute of Technology and Science,Co-Ed,3969,106,1952,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Indore,Madhya Pradesh,Private,244076.9231
Kalinga Institute of Industrial Technology,Co-Ed,21037,1444,2002,,Bhubaneshwar,Odisha,Private,2009710
Vasavi College of Engineering,Co-Ed,2961,129,1981,"Osmania University, Hyderabad",Hyderabad,Telangana,Private,414000
SRM Institute of Science and Technology,Co-Ed,811,345,1985,"SRM Institute of Science and Technology, Chennai",Ramapuram,Tamil Nadu,Private,800000
Galgotias College of Engineering and Technology,Co-Ed,4129,265,1999,"Dr APJ Abdul Kalam Technical University, Lucknow",Greater Noida,Uttar Pradesh,Private,433900
BITS Pilani,Co-Ed,811,157,2004,,Chicalim,Goa,Private,1244000
Gokaraju Rangaraju Institute of Engineering and Technology,Co-Ed,5256,375,1997,"Jawaharlal Nehru Technological University, Hyderabad",Hyderabad,Telangana,Private,313500
Haldia Institute of Technology,Co-Ed,4404,248,1996,"Maulana Abul Kalam Azad University of Technology, Kolkata",Haldia,West Bengal,Private,284000
SCTR's Pune Institute of Computer Technology,Co-Ed,3111,117,1983,"Savitribai Phule Pune University, Pune",Pune,Maharashtra,Private,314666.6667
Nitte Meenakshi Institute of Technology,Co-Ed,4892,332,2001,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,145075
Pandit Deendayal Petroleum University,Co-Ed,5361,215,2007,,Gandhinagar,Gujarat,Private,546256.4103
Sir M Visvesvaraya Institute of Technology,Co-Ed,3301,177,1986,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,236714.2857
Sardar Patel College of Engineering,Co-Ed,1024,45,1962,"University of Mumbai, Mumbai",Mumbai,Maharashtra,Private,163875
CVR College of Engineering,Co-Ed,5015,320,2001,"Jawaharlal Nehru Technological University, Hyderabad",Hyderabad,Telangana,Private,207000
School of Engineering,Co-Ed,811,492,2003,"University of Petroleum and Energy Studies, Dehradun",Dehradun,Uttarakhand,Private,977378.3784
Dr Vishwanath Karad MIT World Peace University,Co-Ed,4702,511,2017,,Pune,Maharashtra,Private,755792.4528
Sardar Patel Institute of Technology,Co-Ed,1397,59,2005,"University of Mumbai, Mumbai",Mumbai,Maharashtra,Private,492428.5714
Walchand College of Engineering,Co-Ed,546,110,1947,"Shivaji University, Kolhapur",Sangli,Maharashtra,Private,202910
Amity School of Engineering,Co-Ed,811,27,2003,"Amity University, Noida",Noida,Uttar Pradesh,Private,1009538.462
Ajay Kumar Garg Engineering College,Co-Ed,3940,239,1998,"Dr APJ Abdul Kalam Technical University, Lucknow",Ghaziabad,Uttar Pradesh,Private,378875
Siddaganga Institute of Technology,Co-Ed,4312,259,1963,"Visvesvaraya Technological University, Belagavi",Tumakuru,Karnataka,Private,249357.1429
Kumaraguru College of Technology,Co-Ed,5974,398,1984,"Anna University, Chennai",Coimbatore,Tamil Nadu,Private,203437.5
Dayananda Sagar University,Co-Ed,2470,146,2014,,Bengaluru,Karnataka,Private,279127.2727
JSS Academy of Technical Education,Co-Ed,4276,212,1998,"Dr APJ Abdul Kalam Technical University, Lucknow",Noida,Uttar Pradesh,Private,416307.6923
Mahatma Gandhi Institute of Technology,Co-Ed,3738,151,1997,"Jawaharlal Nehru Technological University, Hyderabad",Hyderabad,Telangana,Private,316857.1429
Shri Ramdeobaba College of Engineering and Management,Co-Ed,4685,256,1984,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",Nagpur,Maharashtra,Private,442916.6667
The National Institute of Engineering,Co-Ed,3585,126,1946,"Visvesvaraya Technological University, Belagavi",Mysuru,Karnataka,Private,62581.42857
ICFAI Foundation for Higher Education,Co-Ed,6577,260,2008,,Hyderabad,Telangana,Private,630000
ITM University,Co-Ed,4770,221,2011,,Gwalior,Madhya Pradesh,Private,263493.8272
CMR College of Engineering and Technology,Co-Ed,3483,269,2002,"Jawaharlal Nehru Technological University, Hyderabad",Hyderabad,Telangana,Private,268181.8182
KLE Technological University,Co-Ed,5471,297,2014,,Hubli,Karnataka,Private,364235.2941
Gayatri Vidya Parishad College of Engineering,Co-Ed,5469,273,1996,"Jawaharlal Nehru Technological University, Kakinada",Visakhapatnam,Andhra Pradesh,Private,239380.9524
Hindustan Institute of Technology and Science,Co-Ed,7079,618,2008,,Chennai,Tamil Nadu,Private,355685.8407
Banasthali Vidyapith,Female,12598,505,1935,,Jaipur,Rajasthan,Private,230397.5904
Presidency University,Co-Ed,6609,152,2013,,Bengaluru,Karnataka,Private,776250
GMR Institute of Technology,Co-Ed,3475,213,1997,"Jawaharlal Nehru Technological University, Kakinada",Srikakulam,Andhra Pradesh,Private,301846.1538
JSS Science and Technology University,Co-Ed,4494,205,2016,,Mysuru,Karnataka,Private,133463.4146
Bennett University,Co-Ed,1412,64,2016,,Greater Noida,Uttar Pradesh,Private,1154000
MIT Academy of Engineering,Co-Ed,3030,171,1999,"Savitribai Phule Pune University, Pune",Pune,Maharashtra,Private,500454.5455
Bharati Vidyapeeth's College of Engineering,Co-Ed,2150,96,1999,"Guru Gobind Singh Indraprastha University, Delhi",New Delhi,Delhi,Private,443000
BS Abdur Rahman Institute of Science and Technology,Co-Ed,6275,364,2008,,Chennai,Tamil Nadu,Private,309714.2857
Vardhaman College of Engineering,Co-Ed,4055,304,1999,"Jawaharlal Nehru Technological University, Hyderabad",Hyderabad,Telangana,Private,299292.3077
St Joseph's College of Engineering,Co-Ed,5862,380,1994,"Anna University, Chennai",Chennai,Tamil Nadu,Private,163500
Manipal University,Co-Ed,7606,547,2011,,Jaipur,Rajasthan,Private,523740.7407
Malla Reddy College of Engineering and Technology,Co-Ed,3094,251,2004,"Jawaharlal Nehru Technological University, Hyderabad",Hyderabad,Telangana,Private,165333.3333
Velagapudi Ramakrishna Siddhartha Engineering College,Co-Ed,5207,333,1977,"Jawaharlal Nehru Technological University, Kakinada",Vijayawada,Andhra Pradesh,Private,277277.7778
Dayananda Sagar Academy of Technology and Management,Co-Ed,217,183,2011,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,176750
Alliance College of Engineering and Design,Co-Ed,811,90,2010,"Alliance University, Bangalore",Bengaluru,Karnataka,Private,515714.2857
Amrita School of Engineering,Co-Ed,811,159,2002,"Amrita Vishwa Vidyapeetham, Coimbatore",Bengaluru,Karnataka,Private,351076.9231
BNM Institute of Technology,Co-Ed,2098,150,2001,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,247555.5556
Lakshmi Narain College of Technology,Co-Ed,4782,304,1993,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Bhopal,Madhya Pradesh,Private,584812.5
Bharath Institute of Higher Education and Research,Co-Ed,11156,1222,2002,,Chennai,Tamil Nadu,Private,850214.2857
Vidyalankar Institute of Technology,Co-Ed,3563,167,1999,"University of Mumbai, Mumbai",Mumbai,Maharashtra,Private,433583.3333
Vel Tech Rangarajan Dr Sagunthala R and D Institute of Science and Technology,Co-Ed,7562,529,2008,,Chennai,Tamil Nadu,Private,467301.8868
Indian Institute of Information Technology,Co-Ed,480,13,2013,,Gandhinagar,Gujarat,Private ,405888.8889
Vishwakarma Institute of Information Technology,Co-Ed,3502,182,2002,"Savitribai Phule Pune University, Pune",Pune,Maharashtra,Private,463461.5385
Dr DY Patil Institute of Technology,Co-Ed,3623,201,1998,"Savitribai Phule Pune University, Pune",Pune,Maharashtra,Private,337428.5714
Vel's Institute of Science Technology and Advanced Studies,Co-Ed,12592,570,2008,,Chennai,Tamil Nadu,Private,197783.8235
CV Raman College of Engineering,Co-Ed,3266,298,1997,"Biju Patnaik University of Technology, Rourkela",Bhubaneswar,Odisha,Private,339375
ABES Engineering College,Co-Ed,4346,271,2000,"Dr APJ Abdul Kalam Technical University, Lucknow",Ghaziabad,Uttar Pradesh,Private,356857.1429
Velammal Engineering College,Co-Ed,3488,279,1995,"Anna University, Chennai",Chennai,Tamil Nadu,Private,274444.4444
Amity School of Engineering and Technology,Co-Ed,849,62,1999,"Guru Gobind Singh Indraprastha University, Delhi",New Delhi,Delhi,Private,334000
Mukesh Patel School of Technology Management and Engineering,Co-Ed,811,207,2006,"Narsee Monjee Institute of Management Studies, Mumbai",Mumbai,Maharashtra,Private,1876850
The Oxford College of Engineering,Co-Ed,2239,296,2000,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,312909.0909
RNS Institute of Technology,Co-Ed,3563,210,2001,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,251100
BV Raju Institute of Technology,Co-Ed,4723,351,1997,"Jawaharlal Nehru Technological University, Hyderabad",Narsapur,Telangana,Private,303611.1111
Karunya Institute of Technology and Sciences,Co-Ed,8114,434,2004,,Coimbatore,Tamil Nadu,Private,286902.7778
International Institute of Information Technology,Co-Ed,811,51,2014,,Bhubaneswar,Odisha,Private,520000
TKM College of Engineering,Co-Ed,3788,183,1958,"APJ Abdul Kalam Technological University, Thiruvananthapuram",Kollam,Kerala,Private,40370.52632
Sree Vidyanikethan Engineering College,Co-Ed,7204,519,1996,"Jawaharlal Nehru Technological University, Anantapur",Tirupati,Andhra Pradesh,Private,202090.9091
MVJ College of Engineering,Co-Ed,3601,239,1982,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,605375
GH Raisoni College of Engineering,Co-Ed,5406,182,1996,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",Nagpur,Maharashtra,Private,377869.5652
AISSMS College of Engineering,Co-Ed,3021,120,1992,"Savitribai Phule Pune University, Pune",Pune,Maharashtra,Private,450437.5
Jaipur National University,Co-Ed,19329,522,2007,,Jaipur,Rajasthan,Private,242929.6875
New Horizon College of Engineering,Co-Ed,5527,351,2001,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,416000
Maharaja Surajmal Institute of Technology,Co-Ed,2460,131,2001,"Guru Gobind Singh Indraprastha University, Delhi",New Delhi,Delhi,Private,443000
Chitkara University,Co-Ed,10300,800,2010,,Patiala,Punjab,Private,426631.9444
SRM Institute of Science and Technology,Co-Ed,811,120,1997,"SRM Institute of Science and Technology, Chennai",Sadabad Jakhaiva,Uttar Pradesh,Private,800000
JSS Academy of Technical Education,Co-Ed,2865,167,1997,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,335400
Sreenidhi Institute of Science and Technology,Co-Ed,6767,408,1997,"Jawaharlal Nehru Technological University, Hyderabad",Yamnampet,Telangana,Private,276384.6154
Kongu Engineering College,Co-Ed,8309,536,1983,"Anna University, Chennai",Perundurai,Tamil Nadu,Private,326307.6923
Techno India,Co-Ed,3465,206,2001,"Maulana Abul Kalam Azad University of Technology, Kolkata",Kolkata,West Bengal,Private,285555.5556
Graphic Era Hill University,Co-Ed,6169,200,2011,,Dehradun,Uttarakhand,Private,429022.2222
Guru Nanak Institutions Technical Campus,Co-Ed,6102,453,2001,"Jawaharlal Nehru Technological University, Hyderabad",Hyderabad,Telangana,Private,238833.3333
Fr Conceicao Rodrigues College of Engineering,Co-Ed,1134,60,1984,"University of Mumbai, Mumbai",Mumbai,Maharashtra,Private,508285.7143
Indian Institute of Information Technology Tiruchirappalli ,Co-Ed,811,10,2013,,Tiruchirappalli,Tamil Nadu,Private ,723000
The NorthCap University,Co-Ed,2758,99,2009,,Gurgaon,Haryana,Private,397235.2941
Babu Banarasi Das University,Co-Ed,6492,70,2010,,Lucknow,Uttar Pradesh,Private,611478.8732
SJB Institute of Technology,Co-Ed,3248,227,2001,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,668000
Vishnu Institute of Technology,Co-Ed,3141,203,2008,"Jawaharlal Nehru Technological University, Kakinada",Bhimavaram,Andhra Pradesh,Private,248754.5455
SRM University AP,Co-Ed,1411,86,2017,,Kuragallu,Andhra Pradesh,Private,593333.3333
Kakatiya Institute of Technology and Science,Co-Ed,4039,132,1980,"Kakatiya University, Warangal",Warangal,Telangana,Private,261428.5714
Vignan's Foundation for Science Technology and Research,Co-Ed,6521,568,2008,,Guntur,Andhra Pradesh,Private,411590.9091
Gurukula Kangri Vishwavidyalaya,Co-Ed,5754,125,1962,,Haridwar,Uttarakhand,Private,95726.45161
Academy of Technology,Co-Ed,2701,129,2003,"Maulana Abul Kalam Azad University of Technology, Kolkata",Hooghly,West Bengal,Private,300461.5385
Ansal University,Co-Ed,2172,150,2012,,Gurugram,Haryana,Private,727471.6981
BML Munjal University,Co-Ed,1560,88,2014,,Gurgaon,Haryana,Private,1120080
Don Bosco Institute of Technology,Co-Ed,2654,222,2001,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,175272.7273
Indian Institute of Information Technology,Co-Ed,614,18,2013,,Sri City,Andhra Pradesh,Private ,542500
Bannari Amman Institute of Technology,Co-Ed,7074,598,1996,"Anna University, Chennai",Erode,Tamil Nadu,Private,295000
MLR Institute of Technology,Co-Ed,3189,307,2005,"Jawaharlal Nehru Technological University, Hyderabad",Hyderabad,Telangana,Private,219000
Chennai Institute of Technology,Co-Ed,2496,146,2010,"Anna University, Chennai",Chennai,Tamil Nadu,Private,200000
Birla Institute of Technology,Co-Ed,811,76,2006,"Birla Institute of Technology, Mesra",Patna,Bihar,Private,817636.3636
Fr C Rodrigues Institute of Technology,Co-Ed,1499,84,1994,"University of Mumbai, Mumbai",Navi Mumbai,Maharashtra,Private,437750
Symbiosis Institute of Technology,Co-Ed,1974,96,2008,"Symbiosis International University, Pune",Pune,Maharashtra,Private,766428.5714
Rajasthan Institute of Engineering and Technology,Co-Ed,811,124,2000,"Rajasthan Technical University, Kota",Jaipur,Rajasthan,Private,234533.3333
Sagi Ramakrishnam Raju Engineering College,Co-Ed,6172,431,1980,"Andhra University, Visakhapatnam",Bhimavaram,Andhra Pradesh,Private,253666.6667
CEPT University,Co-Ed,1779,67,1962,,Ahmedabad,Gujarat,Private,923000
KIET Group of Institutions,Co-Ed,5414,324,1998,"Dr APJ Abdul Kalam Technical University, Lucknow",Ghaziabad,Uttar Pradesh,Private,372421.0526
Sri Krishna College of Engineering and Technology,Co-Ed,4978,359,1998,"Anna University, Chennai",Coimbatore,Tamil Nadu,Private,157647.0588
Dr DY Patil Institute of Engineering and Technology,Co-Ed,1376,95,2010,"Savitribai Phule Pune University, Pune",Pune,Maharashtra,Private,271142.8571
SRM University,Co-Ed,1824,78,2013,,Sonipat,Haryana,Private,412093.0233
Pune Vidyarthi Griha's College of Engineering and Technology,Co-Ed,811,98,1985,"Savitribai Phule Pune University, Pune",Pune,Maharashtra,Private,394500
Institute of Aeronautical Engineering,Co-Ed,4317,281,2000,"Jawaharlal Nehru Technological University, Hyderabad",Domara Pocham Pally,Telangana,Private,210928.5714
IEC College of Engineering and Technology,Co-Ed,811,262,1999,"Dr APJ Abdul Kalam Technical University, Lucknow",Greater Noida,Uttar Pradesh,Private,294058.8235
NIMS University,Co-Ed,4273,550,2008,,Jaipur,Rajasthan,Private,561898.1481
KIET School of Engineering,Co-Ed,4988,309,1998,"Dr APJ Abdul Kalam Technical University, Lucknow",Muradnagar,Uttar Pradesh,Private,453928.5714
RVR and JC College of Engineering,Co-Ed,5245,265,1985,"Acharya Nagarjuna University, Guntur",Guntur,Andhra Pradesh,Private,304200
Maharishi Markandeshwar Deemed to be University,Co-Ed,8601,736,2010,,Mullana,Haryana,Private,1162987.681
Narula Institute of Technology,Co-Ed,3183,174,2001,"Maulana Abul Kalam Azad University of Technology, Kolkata",Kolkata,West Bengal,Private,281368.4211
Jaypee University of Information Technology,Co-Ed,1888,109,2002,,Solan,Himachal Pradesh,Private,458666.6667
Sri Venkateswara College of Engineering,Co-Ed,4178,299,2007,"Jawaharlal Nehru Technological University, Anantapur",Tirupati,Andhra Pradesh,Private,202866.6667
Amrita School of Engineering,Co-Ed,811,196,2002,"Amrita Vishwa Vidyapeetham, Coimbatore",Vallikavu,Kerala,Private,344833.3333
Rajagiri School of Engineering and Technology,Co-Ed,3196,158,2001,"APJ Abdul Kalam Technological University, Thiruvananthapuram",Kochi,Kerala,Private,259384.6154
Indian Institute of Information Technology,Co-Ed,433,69,2013,,Jaipur,Rajasthan,Private ,836000
BVV Sangha's Basaveshwar Engineering College,Co-Ed,3321,204,1963,"Visvesvaraya Technological University, Belagavi",Bagalkot,Karnataka,Private,210526.3158
Dwarkadas J Sanghvi College of Engineering,Co-Ed,3030,117,1994,"University of Mumbai, Mumbai",Mumbai,Maharashtra,Private,600181.8182
JECRC University,Co-Ed,4638,257,2012,,Jaipur,Rajasthan,Private,311395.3488
NIE Institute of Technology,Co-Ed,922,53,2008,"Visvesvaraya Technological University, Belagavi",Anagahalli,Karnataka,Private,237000
Techno International New Town,Co-Ed,339,138,2005,"Maulana Abul Kalam Azad University of Technology, Kolkata",New Town,West Bengal,Private,294000
Rajarajeswari College of Engineering,Co-Ed,1776,178,2006,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,140615.3846
DY Patil College of Engineering,Co-Ed,3832,204,1984,"Savitribai Phule Pune University, Pune",Pimpri-Chinchwad,Maharashtra,Private,375352.9412
DIT University,Co-Ed,5471,276,2013,,Dehradun,Uttarakhand,Private,509784.3137
Vidyavardhaka College of Engineering,Co-Ed,2681,150,1997,"Visvesvaraya Technological University, Belagavi",Mysuru,Karnataka,Private,196666.6667
AMC Engineering College,Co-Ed,2324,319,1999,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,345294.1176
Thakur College of Engineering and Technology,Co-Ed,3193,135,2001,"University of Mumbai, Mumbai",Mumbai,Maharashtra,Private,491666.6667
Mody University of Science and Technology,Female,2153,145,2013,,Sikar,Rajasthan,Private,499886.5979
Indian Institute of Information Technology Dharwad ,Co-Ed,288,18,2015,,Hubballi,Karnataka,Private ,770000
Indian Institute of Information Technology,Co-Ed,464,17,2013,,Guwahati,Assam,Private ,650000
Madhav Institute of Technology and Science,Co-Ed,4266,85,1957,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Gwalior,Madhya Pradesh,Private,234264.7059
Indian Institute of Information Technology Kalyani ,Co-Ed,323,9,2014,,Kanchrapara,West Bengal,Private ,764000
CMR Institute of Technology,Co-Ed,2995,242,2005,"Jawaharlal Nehru Technological University, Hyderabad",Hyderabad,Telangana,Private,248000
SDM College of Engineering and Technology,Co-Ed,2917,166,1979,"Visvesvaraya Technological University, Belagavi",Dharwad,Karnataka,Private,342466.6667
Loyola-ICAM College of Engineering and Technology,Co-Ed,1589,92,2010,"Anna University, Chennai",Chennai,Tamil Nadu,Private,205000
PES College of Engineering,Co-Ed,2998,195,1962,"Visvesvaraya Technological University, Belagavi",Mandya,Karnataka,Private,127875
Sri Ramakrishna Engineering College,Co-Ed,4409,318,1994,"Anna University, Chennai",Coimbatore,Tamil Nadu,Private,164000
Mepco Schlenk Engineering College,Co-Ed,3841,248,1984,"Anna University, Chennai",Melamattur,Tamil Nadu,Private,155000
Pimpri Chinchwad College of Engineering,Co-Ed,3372,180,1999,"Savitribai Phule Pune University, Pune",Pune,Maharashtra,Private,359000
CMR Institute of Technology,Co-Ed,3940,250,2000,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,94240
Anil Neerukonda Institute of Technology and Sciences,Co-Ed,4433,271,2001,"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,Private,281666.6667
ICFAI University,Co-Ed,1537,73,2003,,Dehradun,Uttarakhand,Private,327703.7037
Guru Tegh Bahadur Institute of Technology,Co-Ed,1778,48,1999,"Guru Gobind Singh Indraprastha University, Delhi",New Delhi,Delhi,Private,308000
Faculty of Engineering and Technology,Co-Ed,811,226,1997,"Manav Rachna International Institute of Research and Studies, Faridabad",Faridabad,Haryana,Private,459583.3333
Mar Athanasius College of Engineering,Co-Ed,2522,158,1961,"APJ Abdul Kalam Technological University, Thiruvananthapuram",Kothamangalam,Kerala,Private,54228
ACS College of Engineering,Co-Ed,1264,112,2009,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,151200
Charotar University of Science and Technology,Co-Ed,86,450,2009,,Changa,Gujarat,Private,288205.3571
Sri Sai Ram Engineering College,Co-Ed,4301,370,1995,"Anna University, Chennai",Chennai,Tamil Nadu,Private,147777.7778
HKBK College of Engineering,Co-Ed,1838,195,1997,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,212571.4286
Indian Institute of Information Technology,Co-Ed,243,18,2016,,Pune,Maharashtra,Private ,607500
Marri Laxman Reddy Institute of Technology and Management,Co-Ed,2539,195,2009,"Jawaharlal Nehru Technological University, Hyderabad",Hyderabad,Telangana,Private,172222.2222
Shri Sant Gajanan Maharaj College of Engineering,Co-Ed,933,90,1983,"Sant Gadge Baba Amravati University, Amravati",Shegaon,Maharashtra,Private,284200
Dr Akhilesh Das Gupta Institute of Technology and Management,Co-Ed,4381,238,2003,"Guru Gobind Singh Indraprastha University, Delhi",New Delhi,Delhi,Private,367461.5385
KLS Gogte Institute of Technology,Co-Ed,3833,279,1979,"Visvesvaraya Technological University, Belagavi",Belgaum,Karnataka,Private,187000
International Institute of Information Technology,Co-Ed,818,41,2011,"Savitribai Phule Pune University, Pune",Pimpri-Chinchwad,Maharashtra,Private,416000
RMK Engineering College,Co-Ed,3249,199,1995,"Anna University, Chennai",Tiruvallur,Tamil Nadu,Private,211428.5714
MIT School of Engineering,Co-Ed,811,66,,"MIT Art Design and Technology University, Pune",Pune,Maharashtra,Private,686714.2857
CMR Engineering College,Co-Ed,7369,200,2010,"Jawaharlal Nehru Technological University, Hyderabad",Hyderabad,Telangana,Private,207000
Maharaj Vijayaram Gajapathi Raj College of Engineering,Co-Ed,4238,246,1997,"Jawaharlal Nehru Technological University, Kakinada",Vizianagaram,Andhra Pradesh,Private,241533.3333
Mahindra Ecole Centrale,Co-Ed,811,62,2013,"Jawaharlal Nehru Technological University, Hyderabad",Hyderabad,Telangana,Private,1600000
Siksha 'O' Anusandhan,Co-Ed,11812,1413,2007,,Bhubaneshwar,Odisha,Private,1575540.816
