College Name,Genders Accepted,Total811Student811Enrollments,Total Faculty,Established Year,University,City,State,College Type,Average Fees
Vijaya Vittala Institute of Technology,Co-Ed,803,102,2009,"Visvesvaraya Technological University, Belagavi",Chikkagubbi,Karnataka,Private,135769.2308
Scient Institute of Technology,Co-Ed,661,108,2001,"Jawaharlal Nehru Technological University, Hyderabad",Rangareddy,Telangana,Private,155900
SJM Institute of Technology,Co-Ed,1197,100,1980,"Visvesvaraya Technological University, Belagavi",Chitradurga,Karnataka,Private,162888.8889
RL Jalappa Institute of Technology,Co-Ed,968,71,2001,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,440000
Marwadi Education Foundation Group of Institutions,Co-Ed,438,275,2009,"Gujarat Technological University, Ahmedabad",Rajkot,Gujarat,Private,311272.7273
Kommuri Pratap Reddy Institute of Technology,Co-Ed,493,84,2008,"Jawaharlal Nehru Technological University, Hyderabad",Ghatkesar,Telangana,Private,204000
Knowledge Institute of Technology,Co-Ed,2404,201,2009,"Anna University, Chennai",Salem,Tamil Nadu,Private,200000
K Ramakrishnan College of Engineering,Co-Ed,2507,184,2008,"Anna University, Chennai",Tiruchirappalli,Tamil Nadu,Private,140000
GKM College of Engineering and Technology,Co-Ed,1125,470,1996,"Anna University, Chennai",Chennai,Tamil Nadu,Private,137857.1429
Francis Xavier Engineering College,Co-Ed,2898,235,2000,"Anna University, Chennai",Tirunelveli,Tamil Nadu,Private,181875
DRK Institute of Science and Technology,Co-Ed,733,142,2004,"Jawaharlal Nehru Technological University, Hyderabad",Hyderabad,Telangana,Private,118888.8889
Cochin College of Engineering and Technology,Co-Ed,1164,119,2012,"APJ Abdul Kalam Technological University, Thiruvananthapuram",Kattipparuthi,Kerala,Private,263636.3636
Dr DY Patil Biotechnology and Bioinformatics Institute,Co-Ed,633,50,2004,"Dr DY Patil Vidyapeeth, Pune",Pune,Maharashtra,Private,524000
GS Mandal's Maharashtra Institute of Technology,Co-Ed,2189,165,2001,"Dr Babasaheb Ambedkar Marathwada University, Aurangabad",Aurangabad,Maharashtra,Private,269857.1429
Hemnalini Memorial College of Engineering,Co-Ed,521,31,2014,"Maulana Abul Kalam Azad University of Technology, Kolkata",Haringhata,West Bengal,Private,150000
Apollo Institute of Engineering and Technology,Co-Ed,1018,61,2014,"Gujarat Technological University, Ahmedabad",Ahmedabad,Gujarat,Private,244000
Universal College of Engineering,Co-Ed,1438,88,2012,"University of Mumbai, Mumbai",Poman,Maharashtra,Private,384000
Sri Taralbalu Jagadguru Institute of Technology,Co-Ed,1572,43,1980,"Visvesvaraya Technological University, Belagavi",Ranebennur,Karnataka,Private,154740
Moodlakatte Institute of Technology,Co-Ed,554,74,2004,"Visvesvaraya Technological University, Belagavi",Moodalkatte,Karnataka,Private,275000
Yellamma Dasappa Institute of Technology,Co-Ed,262,35,2001,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,200000
Vadodara Institute of Engineering,Co-Ed,1257,10,2009,"Gujarat Technological University, Ahmedabad",Kotambi,Gujarat,Private,208000
SNJB's Late Sau Kantabai Bhavarlalji Jain College of Engineering,Co-Ed,811,66,2004,"Savitribai Phule Pune University, Pune",Nashik,Maharashtra,Private,215125.7143
Sir Visvesvaraya Institute of Technology,Co-Ed,1364,103,1998,"Savitribai Phule Pune University, Pune",Chincholi,Maharashtra,Private,250400
Sai Spurthi Institute of Technology,Co-Ed,1032,100,2001,"Jawaharlal Nehru Technological University, Hyderabad",Sathupally,Telangana,Private,127625
RP Sharma Institute of Technology,Co-Ed,811,112,1980,"Magadh University, Bodhgaya",Patna,Bihar,Private,272500
RMK College of Engineering and Technology,Co-Ed,1875,115,2008,"Anna University, Chennai",Vairavankuppam,Tamil Nadu,Private,200000
Nova College of Engineering and Technology,Co-Ed,1495,205,2008,"Jawaharlal Nehru Technological University, Kakinada",Vijayawada,Andhra Pradesh,Private,107231.25
Maharishi Markandeshwar University,Co-Ed,777,169,2009,,Jogan,Himachal Pradesh,Private,2437170.732
Joginpally B R Engineering College,Co-Ed,1034,123,2002,"Jawaharlal Nehru Technological University, Hyderabad",Hyderabad,Telangana,Private,180454.5455
International School of Technology and Sciences for Women,Female,1169,96,2009,"Jawaharlal Nehru Technological University, Kakinada",Rajanagaram,Andhra Pradesh,Private,109500
Bhagwan Mahavir College of Engineering and Technology,Co-Ed,2146,61,2008,"Gujarat Technological University, Ahmedabad",Surat,Gujarat,Private,292000
Babu Banarsi Das Institute of Engineering Technology and Research Centre,Co-Ed,811,62,1998,"Dr APJ Abdul Kalam Technical University, Lucknow",Bulandshahr,Uttar Pradesh,Private,146857.1429
Audisankara College of Engineering and Technology,Co-Ed,194,221,2001,"Jawaharlal Nehru Technological University, Anantapur",Gudur,Andhra Pradesh,Private,131431.5789
Annamacharya Institute of Technology and Science,Co-Ed,872,175,2005,"Jawaharlal Nehru Technological University, Hyderabad",Kothaguda,Telangana,Private,129493.75
Shri Ram Murti Smarak College of Engineering and Technology,Co-Ed,117,48,2011,"Dr APJ Abdul Kalam Technical University, Lucknow",Kushehri,Uttar Pradesh,Private,419800
Geethanjali Institute of Science and Technology,Co-Ed,2190,144,2008,"Jawaharlal Nehru Technological University, Anantapur",Gangavaram,Andhra Pradesh,Private,160444.4444
St Joseph's College of Engineering and Technology,Co-Ed,1803,134,2002,"APJ Abdul Kalam Technological University, Thiruvananthapuram",Choondacherry,Kerala,Private,225468.75
DY Patil School of Engineering Academy,Co-Ed,1245,89,2008,"Savitribai Phule Pune University, Pune",Talegaon Dabhade,Maharashtra,Private,219375
RRS College of Engineering and Technology,Co-Ed,592,123,2002,"Jawaharlal Nehru Technological University, Hyderabad",Hyderabad,Telangana,Private,89972.72727
Gyan Ganga Institute of Technology and Sciences,Co-Ed,3704,229,2003,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Jabalpur,Madhya Pradesh,Private,173333.3333
Mahatma Gandhi Mission College of Engineering and Technology,Co-Ed,811,35,1999,"Dr APJ Abdul Kalam Technical University, Lucknow",Noida,Uttar Pradesh,Private,246333.3333
Viswajyothi College of Engineering and Technology,Co-Ed,2126,169,2001,"APJ Abdul Kalam Technological University, Thiruvananthapuram",Ernakulam,Kerala,Private,321428.5714
Vemu Institute of Technology,Co-Ed,811,180,2008,"Jawaharlal Nehru Technological University, Anantapur",Karini Palli,Andhra Pradesh,Private,127968.75
Tamilnadu College of Engineering,Co-Ed,1156,103,1984,"Anna University, Chennai",Karumathampatti,Tamil Nadu,Private,143000
Sengunthar Engineering College,Co-Ed,990,165,2001,"Anna University, Chennai",Tiruchengode,Tamil Nadu,Private,135714.2857
Khaja Banda Nawaz College of Engineering,Co-Ed,1138,108,1980,"Visvesvaraya Technological University, Belagavi",Gulbarga,Karnataka,Private,201800
Bhimavaram Institute of Engineering and Technology,Co-Ed,811,94,2007,"Jawaharlal Nehru Technological University, Kakinada",Pennada Agraharam,Andhra Pradesh,Private,124000
Bharati Vidyapeeth's College of Engineering,Co-Ed,1317,51,2001,"Shivaji University, Kolhapur",Kolhapur,Maharashtra,Private,228857.1429
Avanthi Institute of Engineering and Technology,Co-Ed,1856,170,1999,"Jawaharlal Nehru Technological University, Kakinada",Kothapallem,Andhra Pradesh,Private,104884.6154
Adarsha College of Engineering,Co-Ed,1928,164,2009,"Biju Patnaik University of Technology, Rourkela",Angul,Odisha,Private,132750
Mahatma Jyoti Rao Phoole University,Co-Ed,5459,69,2009,,Kalwad Kalan and Khurd,Rajasthan,Private,125839.0805
ITM University,Co-Ed,811,42,2012,,Raipur,Chhattisgarh,Private,285285.7143
VSB College of Engineering Technical Campus,Co-Ed,896,85,2012,"Anna University, Chennai",Coimbatore,Tamil Nadu,Private,200000
ILM College of Engineering and Technology,Co-Ed,336,81,2010,"APJ Abdul Kalam Technological University, Thiruvananthapuram",Ernakulam,Kerala,Private,360000
Naraina Vidya Peeth Engineering and Management Institute,Co-Ed,552,90,2008,"Dr APJ Abdul Kalam Technical University, Lucknow",Kanpur,Uttar Pradesh,Private,232888.8889
RVS College of Engineering and Technology,Co-Ed,1132,86,2007,"Anna University, Chennai",Coimbatore,Tamil Nadu,Private,160000
Shiv Kumar Singh Institute of Technology and Science,Co-Ed,811,214,2007,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Indore,Madhya Pradesh,Private,147011.7647
Kamala Institute of Technology and Science,Co-Ed,2090,150,1997,"Jawaharlal Nehru Technological University, Hyderabad",Singapuram,Telangana,Private,252333.3333
International Maritime Institute,Co-Ed,811,20,1991,,Greater Noida,Uttar Pradesh,Private,224500
Institute of Technology Marine Engineering,Co-Ed,359,53,2002,"Maulana Abul Kalam Azad University of Technology, Kolkata",Kolkata,West Bengal,Private,338000
Dhanalakshmi Srinivasan College of Engineering and Technology,Co-Ed,1563,229,2001,"Anna University, Chennai",Mahabalipuram,Tamil Nadu,Private,103000
Deogiri Institute of Engineering and Management Studies,Co-Ed,2968,157,2009,"Dr Babasaheb Ambedkar Technological University, Lonere",Aurangabad,Maharashtra,Private,216583.3333
Central College of Engineering and Management,Co-Ed,604,68,2008,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Raipur,Chhattisgarh,Private,273000
Asia Pacific Institute of Information Technology,Co-Ed,210,50,2001,"Kurukshetra University, Kurukshetra",Panipat Taraf Ansar,Haryana,Private,273142.8571
KNGD Modi Engineering College,Co-Ed,188,74,2005,"Dr APJ Abdul Kalam Technical University, Lucknow",Modinagar,Uttar Pradesh,Private,364000
Swami Vivekananda Institute of Technology,Co-Ed,1501,126,2004,"Jawaharlal Nehru Technological University, Hyderabad",Secunderabad,Telangana,Private,269600
SunRise University,Co-Ed,811,154,2011,,Bagar Rajput,Rajasthan,Private,246707.3171
Keystone School of Engineering,Co-Ed,726,54,2012,"Savitribai Phule Pune University, Pune",Pune,Maharashtra,Private,198000
Shri Pillappa College of Engineering,Co-Ed,600,51,2012,"Visvesvaraya Technological University, Belagavi",Mavallipura,Karnataka,Private,198000
Islamiah Institute of Technology,Co-Ed,200,52,1979,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,200000
Yogananda College of Engineering and Technology,Co-Ed,1093,26,2011,"University of Jammu, Jammu",Jammu,Jammu and Kashmir,Private,180000
Tirumala Engineering College,Co-Ed,1014,135,2001,"Jawaharlal Nehru Technological University, Hyderabad",Hyderabad,Telangana,Private,123233.3333
